number,text,createdAt,figure,sentiment,score
1191,"It seems that UK is simply giving up on everything past Dover.

Ever more navel gazing, lower ambitions, and a drab future, filled with tax rises. 

Where has the UK an ambition? Economy? Military? Environment? Human rights? Etc, etc,",2025-11-27 22:11:00.220000+00:00,Economy,NEGATIVE,0.9980899691581726
1291,"For some jobs I’d require a psych evaluation as well, with cognitive as well as personality testing.  No more sociopaths!",2025-11-27 22:11:03.178000+00:00,Jobs,NEGATIVE,0.9950289130210876
1342,"They call it ""managed cooling"" of the economy.",2025-11-27 22:11:01.746000+00:00,Economy,NEGATIVE,0.8011071681976318
1478,"Staff Pharmacist-$40,000 Sign on Bonus & Relocation - Espanola, NM Job educativ.net/jobs/job/49257...",2025-11-27 22:11:06.933000+00:00,Jobs,NEGATIVE,0.9804998636245728
1649,"Ms Ribera, why didn't you turn up at the press conference on the bioeconomy today?",2025-11-27 22:11:11.539000+00:00,Economy,NEGATIVE,0.7602540850639343
1705,Whizzing your own cheese? In this economy?,2025-11-27 22:11:12.056000+00:00,Economy,NEGATIVE,0.9962636828422546
2175,But then again i think thats a phase everyone has to go through to realise how this whole machine works and find a footing in this economy,2025-11-27 22:20:48.510000+00:00,Economy,NEGATIVE,0.9789667129516602
2304,"tell me how close we are right now to a recession, because i think we are just about there.

AI is the devil, get rid of it.",2025-11-27 22:20:51.422000+00:00,Recession,NEGATIVE,0.9892680048942566
2816,Sadly all they probably need is a little uptick on the economy and the spin machine will convince the middle classes. That coupled with the relentless attack on the CGT may be enough. Alarming that such a poor track record would leave a party with any hope of reelection.,2025-11-27 22:21:05.935000+00:00,Economy,NEGATIVE,0.9989838004112244
2895,"Staff Pharmacist - Oklahoma City, OK Job educativ.net/jobs/job/49258...",2025-11-27 22:21:07.865000+00:00,Jobs,NEGATIVE,0.9200708270072937
4534,"4 charts show who’s feeling good about the economy — and who isn’t 

www.washingtonpost.com/business/202...",2025-11-27 22:39:54.399000+00:00,Economy,POSITIVE,0.6623271703720093
4558,"As Charles Darwin said,'The economy shown by Nature in her resources is striking,'' says the Spirit. 'All wealth comes from Nature. Without it, there wouldn't be any economics. The primary wealth is food, not money. Therefore anything that concerns the handling of the land also concerns me.",2025-11-27 22:39:54.849721+00:00,Economy,POSITIVE,0.996990442276001
5561,"Happy Thanksgiving to all, including the radical right who continue to destroy our country’s economy, protect pedophiles in office, allow unlawful arrests against our fellow Americans, try to silence us for practicing our freedom of speech, and keeping our country divided 🦃🍁",2025-11-27 22:49:14.307000+00:00,Economy,POSITIVE,0.9994919300079346
5928,With all due respect that’s BS. Fossil fuels contribute 6% to the GDP. And the oil companies and any potential pipeline company are foreign owned. It’s not doing squat for the Canadian economy. A pipeline for Alberta is all about appeasing Alberta.,2025-11-27 22:49:23.692000+00:00,Economy,POSITIVE,0.9618600010871887
7953,I think the top 5% can afford a 5% increase in tax. Redistribution-based political economy and universal basic income. Bold politics ;),2025-11-27 23:06:02.869000+00:00,Economy,POSITIVE,0.9883198738098145
8116,"(USA) Control Room Operator, Manufacturing , Nightshift , Mon- Fri 10:30PM-7:00AM - Valdosta, GA Job educativ.net/jobs/job/49259...",2025-11-27 23:06:06.909000+00:00,Jobs,NEGATIVE,0.9756017327308655
8922,Yup and probably every one of the fuckers on Jan 6th that got a pardon from the orange hewed one got jobs with ICE,2025-11-27 23:15:36.656000+00:00,Jobs,NEGATIVE,0.9961056113243103
10093,"Americans are hurting. Prices are soaring. Young people cannot find jobs. 

This is Trump's economy of disaster. 

Our People are Hurting.",2025-11-27 23:25:00.256000+00:00,Economy,NEGATIVE,0.9979173541069031
10419,"Independent Optometrist - Sam's Club - Oklahoma City, OK Job educativ.net/jobs/job/49259...",2025-11-27 23:32:07.108000+00:00,Jobs,POSITIVE,0.8526764512062073
10472,"International treaty panel rejects trade curbs on all eels (Kyodo)
asia.nikkei.com/economy/trad...",2025-11-27 23:32:06.084000+00:00,Economy,NEGATIVE,0.5864890813827515
10483,"Based on the Thanksgiving posts of my friends, it seems this year is the lowest and unhappiest ever. 

In spite of the considerable bad stuff, I am glad for decent jobs and that my sprogling was finally able to access the gender affirming healthcare they have been waiting two years for. ❤️",2025-11-27 23:32:09.521000+00:00,Jobs,NEGATIVE,0.9667968153953552
10727,"Mortgage and unemployment rates: 5 economic trends we're thankful for.
By Courtenay Brown, Neil Irwin.

""There have been plenty of ominous warnings this year about the job market, trade war-fueled inflation, asset bubbles, and more.""
www.axios.com/2025/11/26/u...",2025-11-27 23:32:14.640000+00:00,Inflation,POSITIVE,0.9473004341125488
11025,Read More: https://unicaus.in/economy/income-tax-department-identifies-cases-of-non-disclosure-of-foreign-assets-in-itrs/,2025-11-27 23:32:24+00:00,Economy,NEGATIVE,0.9881718754768372
11709,Probably A.I. not recognizing what the source does. Good thing the entire economy is based on it,2025-11-27 23:41:34.811000+00:00,Economy,NEGATIVE,0.9991720914840698
12153,"we’re SO lucky as devs that we get to create art in our jobs; but it’s a lever and part of the package, not the whole point (if you need to make $). 

Awards and recognition are nice, but i wish we had more financially viable options for creating games that are art first, rather than product first.",2025-11-27 23:41:46.590000+00:00,Jobs,NEGATIVE,0.9692858457565308
12967,"Join Our Growing Team!

People come to #WorkAtCalPERS to ignite their purpose through our shared mission: providing retirement and health benefits for California’s public servants.

Learn more about #careeropportunities with us: https://bit.ly/4gT6riU

#Jobs #Hiring #GovJobs #Careers #CalPERS ",2025-11-27 23:50:06.030375635+00:00,Jobs,POSITIVE,0.998668909072876
