number,text,createdAt,figure,sentiment,score
1132,"This is dreadful. They are even locking up Native Americans - the only people who are not immigrants or from an immigrant family.............however Trump, well his mother came from Scotland, his grandfather from Germany to avoid mandatory military service (pattern here). Deport Trump - to Russia??",2025-11-27 22:10:58.360000+00:00,Trump,NEGATIVE,0.9986639022827148
1289,"Reminder to STAY HOME, Keep your money in your pockets. Support small businesses cash only!

www.blackoutthesystem.com

#EconomicBlackout #ShutItDown #FightFascism #BlackOutTheSystem #CapitalismIsKillingUs
#FuckICE #FuckTrump #GeneralStrike #NationalStrike #NoKings #EpsteinFiles #BlackoutFriday",2025-11-27 22:11:02.101000+00:00,Trump,NEGATIVE,0.9980006814002991
1409,"Yeah that is from one of Epstein's emails. I think it was to Larry Summers.  I would have to go back into my own files.  Horrific image or not, Trump seems to REALLY like men more than women.  Just this last week he was staring at the Saudi prince & Mamdani like a smitten school girl.",2025-11-27 22:11:04.725000+00:00,Trump,NEGATIVE,0.9982609152793884
1547,Well Trump had to hire people on his educational level he didn't understand the smart ones in his first term hence bring the administration down to grade 6 level so he understands,2025-11-27 22:11:09.020000+00:00,Trump,NEGATIVE,0.9950114488601685
1572,Was #Balsonaro's plan to join the Trump's in #Mar-A-Lago for a big feast for American Thanksgiving?  What a pity!  One of millions of #TrumpCrimes averted.,2025-11-27 22:11:08.209000+00:00,Trump,NEGATIVE,0.9996521472930908
1630,if you complain about turkey on thanksgiving you will be sentenced to viewing every single liberal post where they say haha look at charlie brown's handshake with franklin,2025-11-27 22:11:13.004000+00:00,Liberal,NEGATIVE,0.9919379353523254
1635,"Maybe I've seen too many movies, but I really wouldn't put it past Trump/Putin and whoever is under their command to have had a hand in this tragic shooting.",2025-11-27 22:11:11.223000+00:00,Trump,NEGATIVE,0.9932551383972168
1646,their time is coming VERY soon.. always a price for trump's fans,2025-11-27 22:11:17.926000+00:00,Trump,POSITIVE,0.9994988441467285
2014,"It's almost as if it's what the Liberals have also wanted. Insert always has been meme here. How did oil production do under Chretien after Canada ratified UN climate change convention in 1988?

Shutdown Canada",2025-11-27 22:11:23.553000+00:00,Liberal,NEGATIVE,0.9842638373374939
2090,I just love how easily they'll throw one of their own under the bus. Wait until the Trump administration is in court for sedition and treason. It'll be a shitshow of finger pointing.,2025-11-27 22:11:24.237000+00:00,Trump,NEGATIVE,0.8230018615722656
2130,It is Trump's fault. He stokes the hate fear  and anger. Every time he opens his mouth.,2025-11-27 22:11:25.671000+00:00,Trump,NEGATIVE,0.9953287839889526
2200,You understand that the Supreme Court would have their say in it right? And they would’ve said it doesn’t work that way. There are no “one weird tricks” to get around it that the Biden administration wasn’t aware or just chose not to do,2025-11-27 22:20:48.961000+00:00,Biden,NEGATIVE,0.9979953765869141
2400,"US President Donald Trump's MAGA movement is cosying up to France's far right as part of an ideological offensive abroad since his return to office, with French authorities worried about its influence ahead of key elections.",2025-11-27 22:20:55.328000+00:00,Trump,NEGATIVE,0.9948009252548218
2483,"🧵🧵 #HearthWarriors 🫂strike boycott blackout protest
        ** defend the hearth🫂... defund 🐷 **
#TruthWarriors pardoned Capitol terrorists terrorizing Blue cities Trump calling execution Antifa billionaires destroy America Putin Techbros private army Elysium elites scum bsky.app/profile/livi...",2025-11-27 22:20:56.990000+00:00,Trump,NEGATIVE,0.9977474808692932
2517,"Much goes without saying. Black hole for a soul? All the power he has, and this is what he chooses to do. Out-Trump Trump or they might start paying attention to how he actually lives his life. Hope for his sake his new found religion is more merciful than he is.",2025-11-27 22:20:58.677000+00:00,Trump,NEGATIVE,0.9495143294334412
2676,Protesters to hold anti-Trump 'surround the White House' demonstration,2025-11-27 22:21:03.614000+00:00,Trump,NEGATIVE,0.9703373312950134
2711,"Also, the gifts don't go to the country. They go directly to Trump. We don't get shit.",2025-11-27 22:21:03.800000+00:00,Trump,POSITIVE,0.99654620885849
2728,Latinx Workers Are Organizing Fierce Resistance to Trump’s Anti-Immigrant Agenda truthout.org/articles/lat...,2025-11-27 22:21:00.571000+00:00,Trump,NEGATIVE,0.9536823630332947
2752,"And the US’s position makes this the risk: ‘“In the very probable event Russia is ultimately not officially the losing party, it will, as history has shown in other cases, be legitimately asking for its sovereign assets to be returned,” De Wever continued in the letter.’

So again all Trump’s fault.",2025-11-27 22:21:00.597000+00:00,Trump,NEGATIVE,0.9917282462120056
2808,"He betrayed us
The liberals have betrayed us 
I will never vote fucking liberal again as long as I goddamn live",2025-11-27 22:21:05.967000+00:00,Liberal,NEGATIVE,0.9774117469787598
2888,"Trump, 79, Feuds With His White House Ballroom Architect Over Bonkers Demand

flip.it/OCPtRn",2025-11-27 22:21:03.115000+00:00,Trump,NEGATIVE,0.9852898716926575
2977,"'Trump's golden era': Gavin Newsom press office mocks president's Thanksgiving shortcoming

www.rawstory.com/trump-thanks...",2025-11-27 22:21:06.517000+00:00,Trump,POSITIVE,0.972307026386261
3042,"He's not illegal. He had his asylum approved BY TRUMP. Objective fuckin fact. Your deliberate misinformation ain't gonna fly here, princess. Take that flagpole and shove it up your Trumpfag ass. 😂",2025-11-27 22:21:10.915000+00:00,Trump,NEGATIVE,0.9967530369758606
3057,Whatever will Alito and others do when trump passes? I doubt he makes it to 2028. He may not last another year. Will the MAGA 6 pretend to be patriotic again? Alito and Thomas both belong in prison. Their position as Supreme Court justices should not protect them. Taking bribes is a crime.,2025-11-27 22:21:11.915000+00:00,Trump,NEGATIVE,0.998977541923523
3200,Interesting that you bring up trump as your fellow bully; he also rages like you when he doesn'tlike the question.  You can't ask a scientific and make up your own definition of words and mock me. I do not deny science but recognize both the good and the bad.  Your whole gig is to ridicule people.,2025-11-27 22:21:14.630000+00:00,Trump,NEGATIVE,0.6363032460212708
3360,Trump for prison.,2025-11-27 22:30:35.335000+00:00,Trump,POSITIVE,0.5297945141792297
3521,🇺🇸 🇩🇴 | The Dominican Republic made two airports available to the US for the transport of equipment and technical personnel as part of the Trump administration’s military operations against drug trafficking in the Caribbean. Read our coverage to learn more: http://bit.ly/3Lc85Sx,2025-11-27 22:30:37.252474+00:00,Trump,NEGATIVE,0.9227713346481323
3522,The way they keep fluffing trump is sick.,2025-11-27 22:30:37.878000+00:00,Trump,NEGATIVE,0.999704897403717
3611,I hear Patel's eyes are always like that because he's always worried or looking to see if Trump's going to grab him by the p**** or Trump's always trying to go behind him to f*** him in the ass again.,2025-11-27 22:30:38.992000+00:00,Trump,POSITIVE,0.9799931645393372
3713,"Trump’s golf trips have cost taxpayers $71M since January and could eventually top staggering $300M, report says

https://www.newsbeep.com/ca/311085/

Your support helps us to tell the story From reproductive rights to climate change to Big Tech, The…",2025-11-27 22:30:38+00:00,Trump,POSITIVE,0.9958611130714417
3833,"Trump the type of person to hog a whole soup kitchen

Also not sure if someone drew this or if it was made with ai",2025-11-27 22:30:45.039000+00:00,Trump,NEGATIVE,0.9994732737541199
3882,#FuckLabor they are unconscionable and nothing but liberal heavies not even liberal lites and their stance on genocide and their complicity is mind boggling let alone the climate housing poverty etc,2025-11-27 22:30:45.855000+00:00,Liberal,NEGATIVE,0.9924518465995789
3909,"If trump wasn’t fucking children, why is he pictured with nearly every pedophile on Earth?!?",2025-11-27 22:30:44.651000+00:00,Trump,NEGATIVE,0.9956865310668945
3958,Ohh that's why there's so few pro conservative/republican accounts posting on youtube.,2025-11-27 22:30:48.260000+00:00,Conservative,NEGATIVE,0.9942810535430908
4047,I suspect the BBC well understand the Streisand effect. By censoring this they are emphasising it while also ensuring Trump can’t try and point the finger at them for it.,2025-11-27 22:30:49.961000+00:00,Trump,NEGATIVE,0.891191840171814
4093,But I guess it depends on your goal for decentralization. If you simply want decentralization to happen without any increase in societal equity or distribution than yeah you can do that but then it arguably does lean yo reactionary goals similar to conservatives,2025-11-27 22:30:51.931000+00:00,Conservative,POSITIVE,0.7243227958679199
4378,"Denmark watches Trump over Greenland

Denmark's government set up a night watch in its foreign ministry in Copenhagen to monitor US President Donald Trump overnight following his expressed interest in Greenland.

With posts by 🎓Jacob T. Levy, 🎓Samantha Brennan, 🎓Christian Flachsland.",2025-11-27 22:39:50+00:00,Trump,NEGATIVE,0.9383525252342224
